# categoria	nome	url	descricao (estilo, original em inglês)
# fonte: github.com/VoltAgent/awesome-design-md — gerado por scripts/importar_design_md.py
Plataformas de IA e LLM	Claude	https://getdesign.md/claude/design-md	Anthropic's AI assistant. Warm terracotta accent, clean editorial layout
Plataformas de IA e LLM	Cohere	https://getdesign.md/cohere/design-md	Enterprise AI platform. Vibrant gradients, data-rich dashboard aesthetic
Plataformas de IA e LLM	ElevenLabs	https://getdesign.md/elevenlabs/design-md	AI voice platform. Dark cinematic UI, audio-waveform aesthetics
Plataformas de IA e LLM	Minimax	https://getdesign.md/minimax/design-md	AI model provider. Bold dark interface with neon accents
Plataformas de IA e LLM	Mistral AI	https://getdesign.md/mistral.ai/design-md	Open-weight LLM provider. French-engineered minimalism, purple-toned
Plataformas de IA e LLM	Ollama	https://getdesign.md/ollama/design-md	Run LLMs locally. Terminal-first, monochrome simplicity
Plataformas de IA e LLM	OpenCode AI	https://getdesign.md/opencode.ai/design-md	AI coding platform. Developer-centric dark theme
Plataformas de IA e LLM	Replicate	https://getdesign.md/replicate/design-md	Run ML models via API. Clean white canvas, code-forward
Plataformas de IA e LLM	Runway	https://getdesign.md/runwayml/design-md	AI creative-tools platform with an editorial film-festival aesthetic — cinematic dark heroes, paper-white reading bands, single proprietary sans, and pure black pill CTAs.
Plataformas de IA e LLM	Together AI	https://getdesign.md/together.ai/design-md	Open-source AI infrastructure. Technical, blueprint-style design
Plataformas de IA e LLM	VoltAgent	https://getdesign.md/voltagent/design-md	AI agent framework. Void-black canvas, emerald accent, terminal-native
Plataformas de IA e LLM	xAI	https://getdesign.md/x.ai/design-md	Elon Musk's AI lab. Stark monochrome, futuristic minimalism
Ferramentas de desenvolvimento e IDEs	Cursor	https://getdesign.md/cursor/design-md	AI-first code editor. Sleek dark interface, gradient accents
Ferramentas de desenvolvimento e IDEs	Expo	https://getdesign.md/expo/design-md	React Native platform. Dark theme, tight letter-spacing, code-centric
Ferramentas de desenvolvimento e IDEs	Lovable	https://getdesign.md/lovable/design-md	AI full-stack builder. Playful gradients, friendly dev aesthetic
